"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Santa Cruz County, California!!Estimate","Santa Cruz County, California!!Margin of Error","Santa Cruz County, California!!Percent","Santa Cruz County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"        Other fuel","883","±389","0.1%","±0.1","6,567","±1,391","0.2%","±0.1","902","±477","1.1%","±0.6","1,073","±445","0.1%","±0.1","1,878","±717","0.2%","±0.1","3,178","±1,138","0.3%","±0.1","143","±162","0.1%","±0.1","680","±397","0.7%","±0.4","66","±120","0.1%","±0.2"
"        No fuel used","12,393","±2,195","2.1%","±0.4","193,648","±6,276","5.7%","±0.2","642","±487","0.8%","±0.6","33,344","±3,248","3.1%","±0.3","12,729","±2,275","1.7%","±0.3","48,003","±4,065","4.1%","±0.3","6,263","±1,511","4.2%","±1.0","1,505","±746","1.5%","±0.8","597","±460","0.8%","±0.6"
"SELECTED CHARACTERISTICS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","589,180","±4,004","589,180","(X)","3,375,587","±11,206","3,375,587","(X)","84,967","±1,569","84,967","(X)","1,077,193","±4,687","1,077,193","(X)","765,673","±5,559","765,673","(X)","1,162,896","±5,092","1,162,896","(X)","150,550","±2,185","150,550","(X)","97,353","±2,136","97,353","(X)","76,844","±1,623","76,844","(X)"
"        Lacking complete plumbing facilities","2,767","±948","0.5%","±0.2","14,525","±2,038","0.4%","±0.1","140","±119","0.2%","±0.1","2,153","±843","0.2%","±0.1","2,631","±868","0.3%","±0.1","3,469","±1,078","0.3%","±0.1","480","±353","0.3%","±0.2","502","±360","0.5%","±0.4","664","±505","0.9%","±0.7"
"        Lacking complete kitchen facilities","5,069","±1,026","0.9%","±0.2","54,142","±3,905","1.6%","±0.1","228","±166","0.3%","±0.2","17,277","±2,252","1.6%","±0.2","5,740","±1,304","0.7%","±0.2","6,804","±1,674","0.6%","±0.1","1,531","±694","1.0%","±0.5","796","±424","0.8%","±0.4","727","±494","0.9%","±0.6"
"        No telephone service available","5,586","±1,406","0.9%","±0.2","34,704","±3,293","1.0%","±0.1","1,102","±584","1.3%","±0.7","10,068","±1,739","0.9%","±0.2","7,653","±1,507","1.0%","±0.2","8,118","±1,768","0.7%","±0.2","1,189","±486","0.8%","±0.3","1,154","±594","1.2%","±0.6","380","±276","0.5%","±0.4"
"OCCUPANTS PER ROOM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","589,180","±4,004","589,180","(X)","3,375,587","±11,206","3,375,587","(X)","84,967","±1,569","84,967","(X)","1,077,193","±4,687","1,077,193","(X)","765,673","±5,559","765,673","(X)","1,162,896","±5,092","1,162,896","(X)","150,550","±2,185","150,550","(X)","97,353","±2,136","97,353","(X)","76,844","±1,623","76,844","(X)"
"        1.00 or less","545,049","±4,814","92.5%","±0.5","2,997,538","±14,133","88.8%","±0.3","77,457","±2,182","91.2%","±1.8","984,817","±6,829","91.4%","±0.5","713,932","±6,004","93.2%","±0.5","1,083,586","±7,266","93.2%","±0.4","134,198","±3,020","89.1%","±1.3","90,397","±2,654","92.9%","±1.7","72,379","±2,106","94.2%","±1.5"
"        1.01 to 1.50","27,830","±2,710","4.7%","±0.5","212,139","±7,150","6.3%","±0.2","4,792","±1,275","5.6%","±1.5","59,131","±4,148","5.5%","±0.4","36,127","±3,594","4.7%","±0.5","47,898","±3,841","4.1%","±0.3","8,957","±1,482","5.9%","±1.0","5,032","±1,496","5.2%","±1.5","2,437","±900","3.2%","±1.2"
"        1.51 or more","16,301","±2,090","2.8%","±0.4","165,910","±6,062","4.9%","±0.2","2,718","±896","3.2%","±1.0","33,245","±3,042","3.1%","±0.3","15,614","±2,268","2.0%","±0.3","31,412","±3,151","2.7%","±0.3","7,395","±1,373","4.9%","±0.9","1,924","±799","2.0%","±0.8","2,028","±775","2.6%","±1.0"
"VALUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Owner-occupied units","321,870","±5,394","321,870","(X)","1,568,009","±14,971","1,568,009","(X)","43,293","±2,650","43,293","(X)","608,989","±7,262","608,989","(X)","522,043","±8,635","522,043","(X)","631,760","±7,363","631,760","(X)","78,081","±2,879","78,081","(X)","58,798","±2,443","58,798","(X)","41,470","±2,144","41,470","(X)"
"        Less than $50,000","5,186","±1,137","1.6%","±0.4","31,765","±3,107","2.0%","±0.2","2,026","±555","4.7%","±1.3","9,298","±1,552","1.5%","±0.3","21,374","±2,587","4.1%","±0.5","11,959","±1,437","1.9%","±0.2","2,394","±797","3.1%","±1.0","615","±318","1.0%","±0.5","1,744","±813","4.2%","±1.9"
"        $50,000 to $99,999","3,267","±994","1.0%","±0.3","24,323","±2,348","1.6%","±0.1","650","±281","1.5%","±0.7","11,266","±1,370","1.8%","±0.2","15,284","±1,785","2.9%","±0.3","13,832","±1,895","2.2%","±0.3","1,490","±559","1.9%","±0.7","253","±177","0.4%","±0.3","851","±399","2.1%","±1.0"
"        $100,000 to $149,999","3,260","±888","1.0%","±0.3","14,902","±1,731","1.0%","±0.1","1,509","±658","3.5%","±1.5","7,125","±1,236","1.2%","±0.2","11,461","±2,009","2.2%","±0.4","6,187","±1,286","1.0%","±0.2","1,141","±542","1.5%","±0.7","1,230","±692","2.1%","±1.2","246","±246","0.6%","±0.6"
"        $150,000 to $199,999","3,035","±767","0.9%","±0.2","9,474","±1,353","0.6%","±0.1","1,452","±563","3.4%","±1.2","5,651","±1,029","0.9%","±0.2","11,418","±1,860","2.2%","±0.4","5,288","±1,125","0.8%","±0.2","1,255","±582","1.6%","±0.7","520","±343","0.9%","±0.6","572","±357","1.4%","±0.9"
"        $200,000 to $299,999","4,869","±1,046","1.5%","±0.3","31,208","±2,614","2.0%","±0.2","9,019","±1,385","20.8%","±3.1","10,754","±1,553","1.8%","±0.3","39,700","±3,283","7.6%","±0.6","15,393","±1,982","2.4%","±0.3","2,366","±802","3.0%","±1.0","1,721","±786","2.9%","±1.4","1,022","±494","2.5%","±1.2"
"        $300,000 to $499,999","16,554","±1,913","5.1%","±0.6","216,217","±8,225","13.8%","±0.5","21,197","±2,575","49.0%","±4.3","49,255","±3,251","8.1%","±0.5","197,673","±6,370","37.9%","±1.1","83,441","±4,887","13.2%","±0.7","19,600","±2,228","25.1%","±2.4","4,521","±1,204","7.7%","±2.0","14,613","±1,621","35.2%","±3.7"
"        $500,000 to $999,999","136,869","±4,894","42.5%","±1.2","849,848","±11,865","54.2%","±0.6","6,300","±1,083","14.6%","±2.7","329,375","±6,775","54.1%","±0.9","204,514","±6,579","39.2%","±1.1","349,436","±7,590","55.3%","±1.1","24,985","±1,973","32.0%","±2.4","24,570","±2,230","41.8%","±3.1","17,940","±1,690","43.3%","±3.4"
"        $1,000,000 or more","148,830","±4,575","46.2%","±1.2","390,272","±8,432","24.9%","±0.5","1,140","±610","2.6%","±1.4","186,265","±5,844","30.6%","±0.9","20,619","±1,948","3.9%","±0.4","146,224","±5,286","23.1%","±0.8","24,850","±1,774","31.8%","±2.3","25,368","±1,745","43.1%","±2.8","4,482","±1,076","10.8%","±2.6"
"        Median (dollars)","960,900","±11,809","(X)","(X)","720,300","±4,483","(X)","(X)","345,700","±7,597","(X)","(X)","832,300","±6,938","(X)","(X)","465,400","±5,214","(X)","(X)","722,200","±6,496","(X)","(X)","669,000","±29,237","(X)","(X)","922,300","±32,425","(X)","(X)","534,900","±30,615","(X)","(X)"
"MORTGAGE STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Owner-occupied units","321,870","±5,394","321,870","(X)","1,568,009","±14,971","1,568,009","(X)","43,293","±2,650","43,293","(X)","608,989","±7,262","608,989","(X)","522,043","±8,635","522,043","(X)","631,760","±7,363","631,760","(X)","78,081","±2,879","78,081","(X)","58,798","±2,443","58,798","(X)","41,470","±2,144","41,470","(X)"
"        Housing units with a mortgage","221,103","±5,945","68.7%","±1.2","1,081,214","±12,527","69.0%","±0.5","27,448","±2,208","63.4%","±3.0","408,228","±7,155","67.0%","±0.9","366,676","±8,558","70.2%","±1.1","440,570","±8,792","69.7%","±1.0","50,890","±2,808","65.2%","±2.1","38,427","±2,465","65.4%","±3.0","27,540","±1,789","66.4%","±3.1"
"        Housing units without a mortgage","100,767","±3,844","31.3%","±1.2","486,795","±8,752","31.0%","±0.5","15,845","±1,566","36.6%","±3.0","200,761","±6,344","33.0%","±0.9","155,367","±6,071","29.8%","±1.1","191,190","±6,491","30.3%","±1.0","27,191","±1,635","34.8%","±2.1","20,371","±1,866","34.6%","±3.0","13,930","±1,560","33.6%","±3.1"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Housing units with a mortgage","221,103","±5,945","221,103","(X)","1,081,214","±12,527","1,081,214","(X)","27,448","±2,208","27,448","(X)","408,228","±7,155","408,228","(X)","366,676","±8,558","366,676","(X)","440,570","±8,792","440,570","(X)","50,890","±2,808","50,890","(X)","38,427","±2,465","38,427","(X)","27,540","±1,789","27,540","(X)"
"        Less than $500","2,171","±766","1.0%","±0.3","6,681","±1,055","0.6%","±0.1","170","±224","0.6%","±0.8","2,234","±632","0.5%","±0.2","2,962","±921","0.8%","±0.2","2,259","±663","0.5%","±0.1","588","±412","1.2%","±0.8","153","±196","0.4%","±0.5","119","±131","0.4%","±0.5"
"        $500 to $999","4,002","±909","1.8%","±0.4","25,567","±2,074","2.4%","±0.2","2,914","±726","10.6%","±2.6","8,068","±1,449","2.0%","±0.3","17,425","±2,124","4.8%","±0.6","10,982","±1,656","2.5%","±0.4","1,341","±786","2.6%","±1.5","516","±383","1.3%","±1.0","930","±471","3.4%","±1.7"
"        $1,000 to $1,499","9,972","±1,693","4.5%","±0.8","85,697","±4,920","7.9%","±0.4","8,501","±1,636","31.0%","±4.9","24,804","±2,706","6.1%","±0.6","50,321","±3,920","13.7%","±1.0","30,522","±3,049","6.9%","±0.7","4,983","±1,256","9.8%","±2.3","2,126","±778","5.5%","±2.0","3,687","±969","13.4%","±3.4"
"        $1,500 to $1,999","18,859","±2,021","8.5%","±0.9","156,928","±6,038","14.5%","±0.5","7,199","±1,495","26.2%","±4.9","48,696","±3,204","11.9%","±0.7","82,348","±4,843","22.5%","±1.2","60,178","±3,886","13.7%","±0.8","9,820","±1,747","19.3%","±3.1","4,642","±1,158","12.1%","±2.9","5,686","±1,066","20.6%","±3.6"
"        $2,000 to $2,499","28,388","±2,553","12.8%","±1.1","186,270","±6,916","17.2%","±0.6","4,689","±1,165","17.1%","±4.1","61,375","±3,349","15.0%","±0.8","81,473","±4,846","22.2%","±1.3","81,959","±4,652","18.6%","±1.0","8,595","±1,273","16.9%","±2.5","6,254","±1,543","16.3%","±3.7","6,511","±1,126","23.6%","±4.0"
"        $2,500 to $2,999","30,569","±2,447","13.8%","±1.1","181,562","±6,179","16.8%","±0.5","1,691","±599","6.2%","±2.2","64,495","±3,637","15.8%","±0.9","59,279","±3,650","16.2%","±1.0","73,256","±4,008","16.6%","±0.8","6,554","±1,207","12.9%","±2.3","5,019","±1,115","13.1%","±2.7","4,090","±1,092","14.9%","±3.7"
"        $3,000 or more","127,142","±5,229","57.5%","±1.6","438,509","±9,473","40.6%","±0.7","2,284","±770","8.3%","±2.9","198,556","±6,325","48.6%","±1.3","72,868","±5,248","19.9%","±1.2","181,414","±6,464","41.2%","±1.4","19,009","±2,087","37.4%","±3.7","19,717","±1,983","51.3%","±4.3","6,517","±1,090","23.7%","±3.8"
"        Median (dollars)","3,287","±54","(X)","(X)","2,719","±22","(X)","(X)","1,643","±79","(X)","(X)","2,957","±38","(X)","(X)","2,186","±31","(X)","(X)","2,735","±38","(X)","(X)","2,509","±136","(X)","(X)","3,052","±160","(X)","(X)","2,257","±81","(X)","(X)"
"    Housing units without a mortgage","100,767","±3,844","100,767","(X)","486,795","±8,752","486,795","(X)","15,845","±1,566","15,845","(X)","200,761","±6,344","200,761","(X)","155,367","±6,071","155,367","(X)","191,190","±6,491","191,190","(X)","27,191","±1,635","27,191","(X)","20,371","±1,866","20,371","(X)","13,930","±1,560","13,930","(X)"
"        Less than $250","3,850","±961","3.8%","±0.9","25,590","±2,016","5.3%","±0.4","1,249","±556","7.9%","±3.4","10,204","±1,386","5.1%","±0.7","12,654","±2,102","8.1%","±1.3","11,088","±1,723","5.8%","±0.9","2,451","±778","9.0%","±2.7","461","±352","2.3%","±1.7","531","±409","3.8%","±2.9"
"        $250 to $399","6,955","±1,340","6.9%","±1.3","58,893","±3,555","12.1%","±0.7","4,200","±1,025","26.5%","±5.7","21,774","±1,924","10.8%","±1.0","22,398","±2,783","14.4%","±1.6","19,711","±2,131","10.3%","±1.1","3,201","±864","11.8%","±3.1","1,681","±784","8.3%","±3.7","1,192","±575","8.6%","±4.0"
"        $400 to $599","15,802","±1,914","15.7%","±1.7","107,329","±4,582","22.0%","±0.8","4,332","±982","27.3%","±5.7","40,049","±2,992","19.9%","±1.4","31,672","±2,828","20.4%","±1.7","36,481","±2,668","19.1%","±1.3","5,613","±998","20.6%","±3.6","3,769","±1,172","18.5%","±5.5","3,958","±888","28.4%","±5.6"
"        $600 to $799","20,237","±2,114","20.1%","±2.0","95,113","±4,504","19.5%","±0.9","3,047","±859","19.2%","±5.3","35,817","±3,115","17.8%","±1.3","31,284","±2,678","20.1%","±1.7","38,269","±3,138","20.0%","±1.4","4,476","±868","16.5%","±3.0","3,803","±1,006","18.7%","±4.4","2,865","±836","20.6%","±5.3"
"        $800 to $999","16,565","±2,225","16.4%","±2.0","67,989","±3,312","14.0%","±0.6","1,423","±579","9.0%","±3.7","31,536","±3,012","15.7%","±1.4","24,235","±2,609","15.6%","±1.5","26,572","±2,397","13.9%","±1.2","2,839","±707","10.4%","±2.5","4,276","±988","21.0%","±4.4","2,526","±621","18.1%","±4.5"
"        $1,000 or more","37,358","±2,291","37.1%","±2.1","131,881","±5,293","27.1%","±0.9","1,594","±822","10.1%","±4.9","61,381","±3,931","30.6%","±1.6","33,124","±2,675","21.3%","±1.5","59,069","±3,600","30.9%","±1.7","8,611","±1,148","31.7%","±3.8","6,381","±1,054","31.3%","±4.9","2,858","±733","20.5%","±4.5"
"        Median (dollars)","840","±25","(X)","(X)","707","±11","(X)","(X)","516","±45","(X)","(X)","755","±22","(X)","(X)","662","±17","(X)","(X)","748","±17","(X)","(X)","693","±50","(X)","(X)","820","±51","(X)","(X)","700","±54","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","219,854","±5,877","219,854","(X)","1,072,620","±12,542","1,072,620","(X)","26,942","±2,130","26,942","(X)","404,626","±7,214","404,626","(X)","364,941","±8,698","364,941","(X)","438,183","±8,799","438,183","(X)","50,716","±2,810","50,716","(X)","38,244","±2,432","38,244","(X)","27,343","±1,793","27,343","(X)"
"        Less than 20.0 percent","85,911","±4,031","39.1%","±1.8","338,270","±7,935","31.5%","±0.7","9,316","±1,861","34.6%","±5.8","140,807","±4,923","34.8%","±1.1","120,184","±4,959","32.9%","±1.2","144,729","±4,983","33.0%","±1.1","19,090","±2,326","37.6%","±4.2","12,735","±1,566","33.3%","±3.7","11,872","±1,559","43.4%","±5.0"
"        20.0 to 24.9 percent","34,900","±3,165","15.9%","±1.3","151,208","±6,138","14.1%","±0.6","3,796","±1,047","14.1%","±3.8","66,021","±3,506","16.3%","±0.8","61,422","±4,509","16.8%","±1.2","66,285","±4,529","15.1%","±1.0","7,407","±1,387","14.6%","±2.7","5,266","±1,226","13.8%","±3.1","4,923","±1,006","18.0%","±3.5"
"        25.0 to 29.9 percent","23,380","±2,324","10.6%","±1.1","115,481","±6,259","10.8%","±0.5","2,674","±799","9.9%","±3.1","47,651","±3,542","11.8%","±0.9","41,963","±3,555","11.5%","±0.9","54,235","±4,102","12.4%","±0.9","5,054","±1,219","10.0%","±2.4","4,648","±1,150","12.2%","±3.0","3,168","±896","11.6%","±3.1"
"        30.0 to 34.9 percent","17,843","±2,063","8.1%","±0.9","89,819","±4,689","8.4%","±0.4","2,005","±802","7.4%","±3.0","30,781","±2,673","7.6%","±0.7","27,830","±2,918","7.6%","±0.8","40,475","±3,990","9.2%","±0.9","4,434","±999","8.7%","±1.8","3,649","±1,064","9.5%","±2.6","2,343","±878","8.6%","±3.1"
"        35.0 percent or more","57,820","±4,354","26.3%","±1.7","377,842","±9,030","35.2%","±0.8","9,151","±1,703","34.0%","±5.5","119,366","±5,403","29.5%","±1.1","113,542","±5,454","31.1%","±1.2","132,459","±6,323","30.2%","±1.2","14,731","±1,989","29.0%","±3.4","11,946","±1,711","31.2%","±4.0","5,037","±1,024","18.4%","±3.8"
"        Not computed","1,249","±609","(X)","(X)","8,594","±1,616","(X)","(X)","506","±731","(X)","(X)","3,602","±1,072","(X)","(X)","1,735","±690","(X)","(X)","2,387","±797","(X)","(X)","174","±140","(X)","(X)","183","±231","(X)","(X)","197","±298","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","99,253","±3,788","99,253","(X)","476,886","±8,672","476,886","(X)","15,116","±1,458","15,116","(X)","197,326","±6,210","197,326","(X)","152,627","±5,963","152,627","(X)","187,339","±6,446","187,339","(X)","26,945","±1,616","26,945","(X)","20,115","±1,839","20,115","(X)","13,799","±1,554","13,799","(X)"
"        Less than 10.0 percent","47,693","±3,248","48.1%","±2.5","217,831","±6,832","45.7%","±1.1","6,670","±1,014","44.1%","±6.0","95,491","±4,890","48.4%","±1.8","61,511","±4,271","40.3%","±2.1","83,590","±5,452","44.6%","±2.1","13,209","±1,486","49.0%","±4.7","8,325","±1,178","41.4%","±5.3","7,019","±1,169","50.9%","±5.9"
"        10.0 to 14.9 percent","17,041","±2,065","17.2%","±2.0","81,095","±4,343","17.0%","±0.9","2,615","±754","17.3%","±4.7","31,851","±2,626","16.1%","±1.3","26,628","±2,482","17.4%","±1.5","32,760","±2,381","17.5%","±1.3","3,709","±861","13.8%","±2.9","4,139","±976","20.6%","±4.3","2,519","±695","18.3%","±5.0"
"        15.0 to 19.9 percent","9,700","±1,443","9.8%","±1.4","45,064","±3,079","9.4%","±0.6","1,220","±522","8.1%","±3.4","18,676","±2,394","9.5%","±1.2","18,212","±2,161","11.9%","±1.4","17,233","±2,341","9.2%","±1.2","2,291","±572","8.5%","±2.2","1,767","±511","8.8%","±2.4","1,152","±525","8.3%","±3.5"
"        20.0 to 24.9 percent","6,328","±1,288","6.4%","±1.3","28,890","±2,372","6.1%","±0.5","626","±359","4.1%","±2.3","12,387","±1,559","6.3%","±0.8","9,615","±1,350","6.3%","±0.9","11,977","±1,795","6.4%","±1.0","922","±382","3.4%","±1.4","1,398","±620","7.0%","±3.1","1,201","±533","8.7%","±3.7"
"        25.0 to 29.9 percent","3,233","±798","3.3%","±0.8","20,089","±2,202","4.2%","±0.5","1,169","±610","7.7%","±4.2","7,140","±1,453","3.6%","±0.7","7,179","±1,083","4.7%","±0.7","8,105","±1,607","4.3%","±0.9","1,338","±559","5.0%","±2.0","1,170","±653","5.8%","±3.2","295","±186","2.1%","±1.4"
"        30.0 to 34.9 percent","3,719","±957","3.7%","±1.0","13,186","±1,925","2.8%","±0.4","369","±303","2.4%","±1.9","4,567","±884","2.3%","±0.4","5,288","±1,082","3.5%","±0.7","5,384","±1,126","2.9%","±0.6","782","±451","2.9%","±1.7","304","±216","1.5%","±1.1","346","±317","2.5%","±2.3"
"        35.0 percent or more","11,539","±1,695","11.6%","±1.7","70,731","±4,692","14.8%","±1.0","2,447","±1,019","16.2%","±6.0","27,214","±2,853","13.8%","±1.4","24,194","±2,509","15.9%","±1.5","28,290","±2,658","15.1%","±1.3","4,694","±942","17.4%","±3.3","3,012","±869","15.0%","±3.7","1,267","±568","9.2%","±4.0"
"        Not computed","1,514","±635","(X)","(X)","9,909","±1,674","(X)","(X)","729","±548","(X)","(X)","3,435","±1,073","(X)","(X)","2,740","±933","(X)","(X)","3,851","±1,085","(X)","(X)","246","±222","(X)","(X)","256","±289","(X)","(X)","131","±162","(X)","(X)"
"GROSS RENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied units paying rent","260,203","±6,102","260,203","(X)","1,756,032","±13,461","1,756,032","(X)","39,608","±2,745","39,608","(X)","454,873","±7,991","454,873","(X)","233,750","±7,176","233,750","(X)","518,379","±8,114","518,379","(X)","70,292","±3,314","70,292","(X)","37,001","±2,692","37,001","(X)","34,145","±2,118","34,145","(X)"
"        Less than $500","15,419","±1,961","5.9%","±0.7","74,069","±4,753","4.2%","±0.3","3,070","±865","7.8%","±2.1","11,488","±1,613","2.5%","±0.4","9,371","±1,579","4.0%","±0.7","13,002","±2,192","2.5%","±0.4","2,664","±833","3.8%","±1.2","2,926","±826","7.9%","±2.4","2,247","±874","6.6%","±2.5"
"        $500 to $999","17,527","±2,311","6.7%","±0.9","156,282","±6,221","8.9%","±0.4","12,014","±1,605","30.3%","±3.7","13,145","±2,389","2.9%","±0.5","33,552","±3,601","14.4%","±1.4","25,728","±2,877","5.0%","±0.6","5,045","±1,254","7.2%","±1.7","3,276","±1,150","8.9%","±3.1","3,775","±1,035","11.1%","±3.1"
"        $1,000 to $1,499","38,834","±3,642","14.9%","±1.3","438,367","±10,093","25.0%","±0.5","14,381","±2,056","36.3%","±4.3","57,228","±4,351","12.6%","±0.9","62,392","±4,042","26.7%","±1.8","94,169","±6,477","18.2%","±1.2","13,871","±1,561","19.7%","±2.2","4,021","±1,403","10.9%","±3.6","8,983","±1,676","26.3%","±4.9"
"        $1,500 to $1,999","54,262","±4,267","20.9%","±1.6","496,700","±10,930","28.3%","±0.6","7,101","±1,614","17.9%","±3.9","124,616","±5,601","27.4%","±1.2","66,582","±4,658","28.5%","±1.7","154,666","±6,997","29.8%","±1.3","18,904","±2,450","26.9%","±3.2","8,988","±1,925","24.3%","±4.5","9,846","±1,848","28.8%","±5.0"
"        $2,000 to $2,499","57,155","±4,106","22.0%","±1.5","292,157","±9,857","16.6%","±0.5","2,793","±1,467","7.1%","±3.7","116,142","±6,151","25.5%","±1.2","38,335","±3,313","16.4%","±1.4","105,935","±5,664","20.4%","±1.0","13,238","±1,909","18.8%","±2.5","6,014","±1,428","16.3%","±3.9","5,140","±1,398","15.1%","±3.8"
"        $2,500 to $2,999","35,020","±3,285","13.5%","±1.2","135,145","±6,903","7.7%","±0.4","159","±184","0.4%","±0.5","60,501","±3,712","13.3%","±0.8","14,083","±2,302","6.0%","±0.9","56,505","±4,161","10.9%","±0.8","5,954","±1,409","8.5%","±2.0","5,037","±1,302","13.6%","±3.4","2,450","±835","7.2%","±2.4"
"        $3,000 or more","41,986","±2,992","16.1%","±1.2","163,312","±7,020","9.3%","±0.4","90","±147","0.2%","±0.4","71,753","±5,143","15.8%","±1.1","9,435","±1,880","4.0%","±0.8","68,374","±5,100","13.2%","±0.9","10,616","±1,763","15.1%","±2.4","6,739","±1,487","18.2%","±3.6","1,704","±718","5.0%","±2.1"
"        Median (dollars)","2,036","±38","(X)","(X)","1,711","±9","(X)","(X)","1,160","±55","(X)","(X)","2,090","±25","(X)","(X)","1,587","±29","(X)","(X)","1,908","±20","(X)","(X)","1,859","±45","(X)","(X)","1,960","±110","(X)","(X)","1,605","±78","(X)","(X)"
"        No rent paid","7,107","±1,108","(X)","(X)","51,546","±4,121","(X)","(X)","2,066","±687","(X)","(X)","13,331","±2,172","(X)","(X)","9,880","±1,888","(X)","(X)","12,757","±2,145","(X)","(X)","2,177","±863","(X)","(X)","1,554","±716","(X)","(X)","1,229","±559","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","256,368","±6,109","256,368","(X)","1,709,000","±13,085","1,709,000","(X)","38,323","±2,688","38,323","(X)","444,588","±8,187","444,588","(X)","228,433","±6,998","228,433","(X)","507,838","±8,128","507,838","(X)","69,076","±3,230","69,076","(X)","36,574","±2,652","36,574","(X)","32,435","±2,315","32,435","(X)"
"        Less than 15.0 percent","31,030","±2,659","12.1%","±1.0","162,294","±6,442","9.5%","±0.4","4,641","±1,119","12.1%","±2.9","39,048","±3,700","8.8%","±0.8","20,454","±2,333","9.0%","±1.0","36,503","±3,507","7.2%","±0.7","5,983","±1,377","8.7%","±1.9","4,672","±1,136","12.8%","±3.0","2,013","±730","6.2%","±2.2"
"        15.0 to 19.9 percent","33,291","±2,904","13.0%","±1.1","172,866","±6,864","10.1%","±0.4","3,773","±1,015","9.8%","±2.7","47,363","±4,219","10.7%","±0.9","22,521","±3,000","9.9%","±1.3","53,159","±4,414","10.5%","±0.8","6,917","±1,254","10.0%","±1.8","5,261","±1,466","14.4%","±3.9","3,676","±1,145","11.3%","±3.5"
"        20.0 to 24.9 percent","32,166","±2,634","12.5%","±1.0","186,825","±7,919","10.9%","±0.4","6,137","±1,540","16.0%","±3.5","52,569","±4,244","11.8%","±0.9","27,851","±3,312","12.2%","±1.4","60,789","±4,580","12.0%","±0.9","9,037","±1,871","13.1%","±2.7","3,996","±1,311","10.9%","±3.6","3,434","±1,076","10.6%","±3.3"
"        25.0 to 29.9 percent","29,095","±2,962","11.3%","±1.1","181,438","±7,116","10.6%","±0.4","3,967","±1,209","10.4%","±3.1","56,218","±4,794","12.6%","±1.1","21,148","±2,705","9.3%","±1.2","64,702","±4,913","12.7%","±0.9","5,970","±1,363","8.6%","±2.0","3,859","±1,312","10.6%","±3.7","4,075","±1,257","12.6%","±3.8"
"        30.0 to 34.9 percent","24,710","±3,414","9.6%","±1.3","157,217","±6,927","9.2%","±0.4","2,645","±1,126","6.9%","±2.8","42,596","±3,331","9.6%","±0.7","25,036","±3,084","11.0%","±1.3","49,940","±4,332","9.8%","±0.9","7,826","±1,807","11.3%","±2.5","3,510","±1,091","9.6%","±3.0","2,381","±794","7.3%","±2.5"
"        35.0 percent or more","106,076","±5,453","41.4%","±1.9","848,360","±14,249","49.6%","±0.7","17,160","±2,228","44.8%","±5.4","206,794","±7,441","46.5%","±1.4","111,423","±6,069","48.8%","±1.9","242,745","±7,927","47.8%","±1.4","33,343","±3,015","48.3%","±3.6","15,276","±2,615","41.8%","±5.8","16,856","±2,296","52.0%","±5.7"
"        Not computed","10,942","±1,524","(X)","(X)","98,578","±5,460","(X)","(X)","3,351","±993","(X)","(X)","23,616","±2,943","(X)","(X)","15,197","±2,396","(X)","(X)","23,298","±2,934","(X)","(X)","3,393","±1,068","(X)","(X)","1,981","±834","(X)","(X)","2,939","±964","(X)","(X)"
