"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Santa Cruz County, California!!Estimate","Santa Cruz County, California!!Margin of Error","Santa Cruz County, California!!Percent","Santa Cruz County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"        5 rooms","109,101","±4,564","18.2%","±0.8","631,806","±9,683","17.9%","±0.3","20,261","±2,134","24.0%","±2.5","205,364","±7,452","18.8%","±0.7","169,720","±5,200","20.4%","±0.6","225,964","±7,487","18.8%","±0.6","30,020","±2,728","19.2%","±1.7","23,422","±2,627","22.2%","±2.5","15,895","±2,075","20.6%","±2.7"
"        6 rooms","89,816","±3,984","15.0%","±0.7","517,543","±11,898","14.7%","±0.3","18,635","±1,910","22.1%","±2.3","180,644","±6,883","16.6%","±0.6","150,362","±5,797","18.1%","±0.7","185,981","±6,666","15.5%","±0.6","26,800","±2,426","17.2%","±1.6","16,607","±2,065","15.7%","±2.0","13,646","±1,867","17.7%","±2.4"
"        7 rooms","57,853","±2,941","9.6%","±0.5","285,864","±6,814","8.1%","±0.2","11,126","±1,813","13.2%","±2.2","122,015","±5,583","11.2%","±0.5","99,417","±4,779","12.0%","±0.6","132,246","±6,065","11.0%","±0.5","17,374","±1,837","11.1%","±1.2","11,480","±1,876","10.9%","±1.8","9,349","±1,590","12.1%","±2.1"
"        8 rooms","37,894","±2,609","6.3%","±0.4","185,486","±6,084","5.3%","±0.2","6,069","±1,088","7.2%","±1.3","88,688","±3,918","8.1%","±0.4","73,718","±4,175","8.9%","±0.5","86,127","±4,767","7.2%","±0.4","8,970","±1,408","5.8%","±0.9","5,843","±1,101","5.5%","±1.0","5,214","±956","6.8%","±1.2"
"        9 rooms or more","40,967","±2,337","6.8%","±0.4","168,992","±5,738","4.8%","±0.2","5,864","±1,308","6.9%","±1.5","85,565","±4,696","7.8%","±0.4","76,055","±4,107","9.1%","±0.5","77,626","±3,582","6.5%","±0.3","9,730","±1,333","6.2%","±0.9","6,160","±1,124","5.8%","±1.1","5,420","±865","7.0%","±1.1"
"        Median rooms","4.8","±0.1","(X)","(X)","4.5","±0.2","(X)","(X)","5.5","±0.2","(X)","(X)","5.2","±0.1","(X)","(X)","5.4","±0.1","(X)","(X)","5.0","±0.1","(X)","(X)","5.0","±0.1","(X)","(X)","5.0","±0.2","(X)","(X)","5.2","±0.1","(X)","(X)"
"BEDROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","599,780","±1,020","599,780","(X)","3,520,811","±2,122","3,520,811","(X)","84,432","±449","84,432","(X)","1,090,121","±993","1,090,121","(X)","831,404","±996","831,404","(X)","1,202,397","±1,966","1,202,397","(X)","155,962","±633","155,962","(X)","105,635","±640","105,635","(X)","77,166","±481","77,166","(X)"
"        No bedroom","30,710","±2,503","5.1%","±0.4","249,796","±6,412","7.1%","±0.2","1,618","±607","1.9%","±0.7","34,871","±3,727","3.2%","±0.3","18,384","±2,363","2.2%","±0.3","41,689","±4,082","3.5%","±0.3","4,048","±1,045","2.6%","±0.7","6,257","±1,570","5.9%","±1.5","2,428","±910","3.1%","±1.2"
"        1 bedroom","95,392","±4,069","15.9%","±0.7","682,411","±10,336","19.4%","±0.3","4,553","±905","5.4%","±1.1","135,645","±5,702","12.4%","±0.5","68,264","±4,352","8.2%","±0.5","161,871","±6,225","13.5%","±0.5","23,808","±2,613","15.3%","±1.7","13,292","±1,735","12.6%","±1.7","9,507","±1,569","12.3%","±2.0"
