"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Santa Cruz County, California!!Estimate","Santa Cruz County, California!!Margin of Error","Santa Cruz County, California!!Percent","Santa Cruz County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"        Other fuel","715","±352","0.1%","±0.1","5,560","±989","0.2%","±0.1","1,613","±496","2.0%","±0.6","858","±447","0.1%","±0.1","2,230","±873","0.3%","±0.1","3,159","±1,047","0.3%","±0.1","18","±29","0.0%","±0.1","367","±208","0.4%","±0.2","485","±363","0.7%","±0.5"
"        No fuel used","11,557","±1,775","2.0%","±0.3","213,529","±7,820","6.4%","±0.2","614","±436","0.8%","±0.5","45,070","±2,896","4.3%","±0.3","12,529","±2,038","1.7%","±0.3","49,455","±3,957","4.4%","±0.3","8,825","±1,673","6.0%","±1.1","4,063","±1,461","4.3%","±1.5","484","±283","0.7%","±0.4"
"SELECTED CHARACTERISTICS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","575,410","±4,162","575,410","(X)","3,313,908","±10,529","3,313,908","(X)","79,487","±1,497","79,487","(X)","1,040,394","±5,391","1,040,394","(X)","728,103","±4,596","728,103","(X)","1,130,911","±6,394","1,130,911","(X)","146,224","±2,369","146,224","(X)","94,994","±2,034","94,994","(X)","74,428","±1,333","74,428","(X)"
"        Lacking complete plumbing facilities","1,649","±557","0.3%","±0.1","16,583","±2,417","0.5%","±0.1","423","±423","0.5%","±0.5","2,928","±772","0.3%","±0.1","1,164","±403","0.2%","±0.1","4,015","±1,135","0.4%","±0.1","874","±548","0.6%","±0.4","264","±264","0.3%","±0.3","317","±299","0.4%","±0.4"
"        Lacking complete kitchen facilities","5,782","±1,137","1.0%","±0.2","47,350","±3,286","1.4%","±0.1","317","±413","0.4%","±0.5","12,385","±1,757","1.2%","±0.2","3,658","±929","0.5%","±0.1","8,919","±1,626","0.8%","±0.1","1,528","±549","1.0%","±0.4","977","±602","1.0%","±0.6","844","±455","1.1%","±0.6"
"        No telephone service available","5,155","±1,075","0.9%","±0.2","41,877","±3,114","1.3%","±0.1","658","±375","0.8%","±0.5","10,922","±1,410","1.0%","±0.1","10,631","±1,767","1.5%","±0.2","14,660","±2,164","1.3%","±0.2","1,632","±613","1.1%","±0.4","734","±596","0.8%","±0.6","1,173","±540","1.6%","±0.7"
"OCCUPANTS PER ROOM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","575,410","±4,162","575,410","(X)","3,313,908","±10,529","3,313,908","(X)","79,487","±1,497","79,487","(X)","1,040,394","±5,391","1,040,394","(X)","728,103","±4,596","728,103","(X)","1,130,911","±6,394","1,130,911","(X)","146,224","±2,369","146,224","(X)","94,994","±2,034","94,994","(X)","74,428","±1,333","74,428","(X)"
"        1.00 or less","530,716","±4,501","92.2%","±0.5","2,941,598","±12,020","88.8%","±0.2","71,640","±1,969","90.1%","±1.8","950,844","±6,081","91.4%","±0.4","679,464","±5,265","93.3%","±0.5","1,051,489","±6,261","93.0%","±0.4","129,203","±2,678","88.4%","±1.3","87,510","±2,308","92.1%","±1.7","70,255","±1,655","94.4%","±1.6"
"        1.01 to 1.50","28,194","±2,452","4.9%","±0.4","217,941","±6,257","6.6%","±0.2","5,584","±1,312","7.0%","±1.6","58,534","±3,946","5.6%","±0.4","35,592","±3,183","4.9%","±0.4","51,671","±3,417","4.6%","±0.3","11,184","±1,546","7.6%","±1.0","4,691","±1,510","4.9%","±1.6","3,427","±1,138","4.6%","±1.5"
"        1.51 or more","16,500","±1,883","2.9%","±0.3","154,369","±5,662","4.7%","±0.2","2,263","±756","2.8%","±0.9","31,016","±2,547","3.0%","±0.2","13,047","±1,661","1.8%","±0.2","27,751","±2,955","2.5%","±0.3","5,837","±1,133","4.0%","±0.8","2,793","±1,105","2.9%","±1.2","746","±434","1.0%","±0.6"
"VALUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Owner-occupied units","308,503","±5,339","308,503","(X)","1,501,284","±13,125","1,501,284","(X)","42,176","±2,133","42,176","(X)","597,488","±7,644","597,488","(X)","496,576","±6,265","496,576","(X)","600,545","±8,408","600,545","(X)","76,604","±2,526","76,604","(X)","57,087","±2,200","57,087","(X)","36,107","±1,912","36,107","(X)"
"        Less than $50,000","4,276","±909","1.4%","±0.3","29,279","±2,006","2.0%","±0.1","1,827","±676","4.3%","±1.6","9,829","±1,339","1.6%","±0.2","25,412","±2,406","5.1%","±0.5","14,671","±1,789","2.4%","±0.3","1,435","±517","1.9%","±0.7","838","±391","1.5%","±0.7","870","±607","2.4%","±1.6"
"        $50,000 to $99,999","2,215","±675","0.7%","±0.2","19,424","±2,046","1.3%","±0.1","1,324","±550","3.1%","±1.3","10,446","±1,318","1.7%","±0.2","12,964","±1,553","2.6%","±0.3","12,116","±1,626","2.0%","±0.3","861","±491","1.1%","±0.6","487","±278","0.9%","±0.5","502","±464","1.4%","±1.3"
"        $100,000 to $149,999","2,036","±659","0.7%","±0.2","10,526","±1,457","0.7%","±0.1","2,169","±697","5.1%","±1.7","5,383","±970","0.9%","±0.2","11,327","±1,448","2.3%","±0.3","8,199","±1,547","1.4%","±0.3","1,314","±482","1.7%","±0.6","850","±414","1.5%","±0.7","550","±358","1.5%","±1.0"
"        $150,000 to $199,999","2,289","±713","0.7%","±0.2","14,214","±1,769","0.9%","±0.1","6,513","±1,154","15.4%","±2.6","5,313","±1,148","0.9%","±0.2","23,625","±2,376","4.8%","±0.5","6,288","±1,040","1.0%","±0.2","683","±331","0.9%","±0.4","264","±231","0.5%","±0.4","832","±355","2.3%","±1.0"
"        $200,000 to $299,999","4,214","±847","1.4%","±0.3","56,357","±3,415","3.8%","±0.2","15,349","±1,712","36.4%","±3.7","14,112","±1,704","2.4%","±0.3","92,326","±4,073","18.6%","±0.8","21,784","±2,317","3.6%","±0.4","5,394","±968","7.0%","±1.2","1,646","±684","2.9%","±1.2","3,050","±887","8.4%","±2.3"
"        $300,000 to $499,999","26,929","±2,555","8.7%","±0.8","372,075","±8,899","24.8%","±0.5","10,222","±1,703","24.2%","±3.7","76,908","±3,894","12.9%","±0.6","226,169","±5,298","45.5%","±0.9","147,325","±6,037","24.5%","±0.9","22,692","±2,122","29.6%","±2.3","6,050","±1,398","10.6%","±2.4","14,768","±1,479","40.9%","±3.7"
"        $500,000 to $999,999","164,008","±4,649","53.2%","±1.2","715,227","±9,335","47.6%","±0.6","4,195","±800","9.9%","±1.8","359,117","±7,691","60.1%","±1.0","91,744","±4,397","18.5%","±0.8","305,393","±6,978","50.9%","±0.9","23,429","±1,886","30.6%","±2.2","30,265","±2,222","53.0%","±3.3","13,628","±1,191","37.7%","±3.2"
"        $1,000,000 or more","102,536","±3,771","33.2%","±1.1","284,182","±6,377","18.9%","±0.4","577","±291","1.4%","±0.7","116,380","±4,178","19.5%","±0.7","13,009","±1,559","2.6%","±0.3","84,769","±3,009","14.1%","±0.5","20,796","±1,453","27.1%","±2.0","16,687","±1,527","29.2%","±2.5","1,907","±597","5.3%","±1.6"
"        Median (dollars)","842,000","±9,100","(X)","(X)","625,200","±3,463","(X)","(X)","261,100","±9,867","(X)","(X)","709,800","±4,597","(X)","(X)","364,900","±3,173","(X)","(X)","606,200","±5,008","(X)","(X)","629,400","±34,071","(X)","(X)","815,100","±22,034","(X)","(X)","461,800","±15,195","(X)","(X)"
"MORTGAGE STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Owner-occupied units","308,503","±5,339","308,503","(X)","1,501,284","±13,125","1,501,284","(X)","42,176","±2,133","42,176","(X)","597,488","±7,644","597,488","(X)","496,576","±6,265","496,576","(X)","600,545","±8,408","600,545","(X)","76,604","±2,526","76,604","(X)","57,087","±2,200","57,087","(X)","36,107","±1,912","36,107","(X)"
"        Housing units with a mortgage","225,196","±5,778","73.0%","±1.2","1,061,780","±12,945","70.7%","±0.5","27,900","±2,133","66.2%","±3.2","418,067","±6,869","70.0%","±0.8","346,210","±6,224","69.7%","±0.9","425,484","±7,803","70.8%","±0.9","49,099","±2,518","64.1%","±2.1","38,498","±2,387","67.4%","±3.3","24,886","±1,745","68.9%","±3.0"
"        Housing units without a mortgage","83,307","±3,599","27.0%","±1.2","439,504","±7,438","29.3%","±0.5","14,276","±1,419","33.8%","±3.2","179,421","±5,665","30.0%","±0.8","150,366","±4,847","30.3%","±0.9","175,061","±6,118","29.2%","±0.9","27,505","±1,665","35.9%","±2.1","18,589","±1,989","32.6%","±3.3","11,221","±1,233","31.1%","±3.0"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Housing units with a mortgage","225,196","±5,778","225,196","(X)","1,061,780","±12,945","1,061,780","(X)","27,900","±2,133","27,900","(X)","418,067","±6,869","418,067","(X)","346,210","±6,224","346,210","(X)","425,484","±7,803","425,484","(X)","49,099","±2,518","49,099","(X)","38,498","±2,387","38,498","(X)","24,886","±1,745","24,886","(X)"
"        Less than $500","716","±357","0.3%","±0.2","3,673","±985","0.3%","±0.1","120","±181","0.4%","±0.6","1,492","±451","0.4%","±0.1","1,639","±498","0.5%","±0.1","1,625","±582","0.4%","±0.1","262","±254","0.5%","±0.5","45","±77","0.1%","±0.2","0","±211","0.0%","±0.7"
"        $500 to $999","4,292","±824","1.9%","±0.4","33,800","±2,504","3.2%","±0.2","4,494","±1,134","16.1%","±3.8","11,968","±1,626","2.9%","±0.4","21,904","±2,057","6.3%","±0.6","15,076","±1,855","3.5%","±0.4","1,924","±584","3.9%","±1.2","977","±458","2.5%","±1.2","1,062","±580","4.3%","±2.3"
"        $1,000 to $1,499","11,928","±1,488","5.3%","±0.6","107,344","±4,911","10.1%","±0.5","10,660","±1,609","38.2%","±5.2","32,355","±2,965","7.7%","±0.7","67,917","±4,308","19.6%","±1.2","41,039","±2,941","9.6%","±0.6","5,493","±1,045","11.2%","±2.3","2,867","±835","7.4%","±2.1","2,956","±718","11.9%","±2.8"
"        $1,500 to $1,999","25,181","±1,714","11.2%","±0.8","191,179","±5,884","18.0%","±0.5","6,835","±1,064","24.5%","±3.5","55,970","±3,322","13.4%","±0.8","85,111","±3,908","24.6%","±1.1","65,148","±3,903","15.3%","±0.9","10,027","±1,398","20.4%","±2.5","4,153","±1,037","10.8%","±2.7","6,223","±1,308","25.0%","±4.8"
"        $2,000 to $2,499","35,651","±2,559","15.8%","±1.0","200,249","±7,796","18.9%","±0.7","3,517","±931","12.6%","±3.2","67,380","±4,096","16.1%","±0.9","69,794","±4,126","20.2%","±1.1","78,865","±4,156","18.5%","±0.9","8,547","±1,346","17.4%","±2.4","6,760","±1,315","17.6%","±3.2","5,413","±1,115","21.8%","±4.2"
"        $2,500 to $2,999","37,353","±2,727","16.6%","±1.1","165,824","±5,527","15.6%","±0.5","1,315","±691","4.7%","±2.4","71,022","±4,251","17.0%","±0.9","52,304","±3,631","15.1%","±1.0","75,325","±4,479","17.7%","±1.0","6,323","±1,177","12.9%","±2.2","5,558","±1,105","14.4%","±2.9","4,163","±905","16.7%","±3.5"
"        $3,000 or more","110,075","±3,982","48.9%","±1.3","359,711","±7,681","33.9%","±0.6","959","±495","3.4%","±1.7","177,880","±5,265","42.5%","±1.3","47,541","±3,036","13.7%","±0.8","148,406","±5,508","34.9%","±1.1","16,523","±1,561","33.7%","±2.9","18,138","±2,129","47.1%","±4.4","5,069","±993","20.4%","±3.5"
"        Median (dollars)","2,966","±38","(X)","(X)","2,487","±18","(X)","(X)","1,440","±56","(X)","(X)","2,781","±36","(X)","(X)","1,979","±27","(X)","(X)","2,573","±28","(X)","(X)","2,400","±88","(X)","(X)","2,900","±146","(X)","(X)","2,203","±103","(X)","(X)"
"    Housing units without a mortgage","83,307","±3,599","83,307","(X)","439,504","±7,438","439,504","(X)","14,276","±1,419","14,276","(X)","179,421","±5,665","179,421","(X)","150,366","±4,847","150,366","(X)","175,061","±6,118","175,061","(X)","27,505","±1,665","27,505","(X)","18,589","±1,989","18,589","(X)","11,221","±1,233","11,221","(X)"
"        Less than $250","3,011","±692","3.6%","±0.8","30,829","±2,366","7.0%","±0.5","2,419","±879","16.9%","±5.7","14,338","±1,453","8.0%","±0.8","16,345","±1,850","10.9%","±1.2","14,863","±1,961","8.5%","±1.1","1,651","±561","6.0%","±2.0","1,170","±551","6.3%","±2.8","817","±577","7.3%","±4.8"
"        $250 to $399","9,366","±1,422","11.2%","±1.6","66,806","±3,081","15.2%","±0.7","4,211","±889","29.5%","±6.1","26,778","±2,137","14.9%","±1.0","25,454","±2,112","16.9%","±1.4","27,753","±2,790","15.9%","±1.5","3,723","±607","13.5%","±2.3","2,165","±705","11.6%","±3.4","2,266","±740","20.2%","±5.8"
"        $400 to $599","18,536","±1,862","22.3%","±2.0","111,884","±4,438","25.5%","±0.8","4,592","±1,096","32.2%","±6.6","39,591","±2,799","22.1%","±1.3","39,825","±2,877","26.5%","±1.7","40,383","±3,038","23.1%","±1.5","8,004","±1,360","29.1%","±4.3","4,469","±1,203","24.0%","±5.6","3,261","±754","29.1%","±6.0"
"        $600 to $799","19,305","±1,898","23.2%","±2.2","83,617","±3,726","19.0%","±0.9","1,910","±621","13.4%","±4.0","34,812","±2,685","19.4%","±1.4","32,673","±2,736","21.7%","±1.6","32,340","±2,668","18.5%","±1.4","4,947","±877","18.0%","±3.0","3,939","±1,024","21.2%","±5.3","2,180","±573","19.4%","±5.3"
"        $800 to $999","13,658","±1,576","16.4%","±1.8","50,665","±3,306","11.5%","±0.7","754","±400","5.3%","±2.8","25,990","±2,365","14.5%","±1.2","17,300","±1,935","11.5%","±1.2","25,522","±2,306","14.6%","±1.1","3,017","±677","11.0%","±2.4","3,150","±975","16.9%","±5.3","1,267","±412","11.3%","±3.6"
"        $1,000 or more","19,431","±1,881","23.3%","±1.9","95,703","±3,690","21.8%","±0.8","390","±200","2.7%","±1.4","37,912","±2,417","21.1%","±1.4","18,769","±2,089","12.5%","±1.3","34,200","±2,231","19.5%","±1.2","6,163","±879","22.4%","±2.9","3,696","±885","19.9%","±4.2","1,430","±495","12.7%","±4.3"
"        Median (dollars)","705","±21","(X)","(X)","622","±8","(X)","(X)","424","±41","(X)","(X)","649","±14","(X)","(X)","569","±13","(X)","(X)","631","±16","(X)","(X)","614","±39","(X)","(X)","667","±48","(X)","(X)","548","±57","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","224,302","±5,622","224,302","(X)","1,053,837","±12,874","1,053,837","(X)","27,657","±2,107","27,657","(X)","415,546","±7,144","415,546","(X)","342,672","±6,333","342,672","(X)","424,451","±7,816","424,451","(X)","48,973","±2,523","48,973","(X)","38,370","±2,382","38,370","(X)","24,834","±1,744","24,834","(X)"
"        Less than 20.0 percent","86,835","±4,145","38.7%","±1.4","314,062","±6,951","29.8%","±0.6","11,153","±1,415","40.3%","±4.2","140,359","±5,249","33.8%","±1.2","107,589","±4,340","31.4%","±1.3","133,377","±5,168","31.4%","±1.2","15,402","±1,782","31.4%","±3.2","13,385","±1,459","34.9%","±3.4","10,163","±1,217","40.9%","±4.6"
"        20.0 to 24.9 percent","37,098","±2,846","16.5%","±1.2","150,168","±5,238","14.2%","±0.5","3,908","±916","14.1%","±3.2","61,045","±3,092","14.7%","±0.8","52,601","±3,962","15.4%","±1.1","66,193","±3,548","15.6%","±0.8","8,618","±1,458","17.6%","±2.9","6,574","±1,142","17.1%","±2.7","4,741","±881","19.1%","±3.2"
"        25.0 to 29.9 percent","27,340","±2,300","12.2%","±1.0","127,011","±4,821","12.1%","±0.4","2,426","±849","8.8%","±3.1","49,552","±3,088","11.9%","±0.7","43,179","±3,430","12.6%","±1.0","58,558","±3,719","13.8%","±0.8","7,154","±1,285","14.6%","±2.6","4,491","±1,091","11.7%","±2.7","3,364","±957","13.5%","±3.7"
"        30.0 to 34.9 percent","19,577","±1,939","8.7%","±0.9","100,937","±4,298","9.6%","±0.4","2,497","±970","9.0%","±3.4","39,071","±3,073","9.4%","±0.7","29,909","±2,802","8.7%","±0.8","40,219","±3,259","9.5%","±0.7","3,778","±857","7.7%","±1.6","3,441","±982","9.0%","±2.4","1,797","±606","7.2%","±2.4"
"        35.0 percent or more","53,452","±3,028","23.8%","±1.2","361,659","±7,726","34.3%","±0.6","7,673","±1,375","27.7%","±4.2","125,519","±5,500","30.2%","±1.2","109,394","±5,630","31.9%","±1.5","126,104","±5,383","29.7%","±1.2","14,021","±1,636","28.6%","±3.0","10,479","±1,484","27.3%","±3.6","4,769","±947","19.2%","±3.3"
"        Not computed","894","±478","(X)","(X)","7,943","±1,421","(X)","(X)","243","±278","(X)","(X)","2,521","±1,065","(X)","(X)","3,538","±960","(X)","(X)","1,033","±508","(X)","(X)","126","±159","(X)","(X)","128","±162","(X)","(X)","52","±88","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","82,292","±3,666","82,292","(X)","431,206","±7,491","431,206","(X)","14,181","±1,422","14,181","(X)","176,939","±5,619","176,939","(X)","147,077","±4,748","147,077","(X)","172,104","±5,823","172,104","(X)","27,336","±1,640","27,336","(X)","18,534","±1,984","18,534","(X)","11,111","±1,214","11,111","(X)"
"        Less than 10.0 percent","41,313","±2,434","50.2%","±2.7","193,877","±5,341","45.0%","±1.0","8,571","±1,224","60.4%","±6.3","88,101","±3,678","49.8%","±1.5","59,324","±3,762","40.3%","±2.0","80,904","±4,200","47.0%","±1.8","13,520","±1,311","49.5%","±3.7","8,681","±1,546","46.8%","±5.9","6,180","±1,041","55.6%","±6.8"
"        10.0 to 14.9 percent","14,051","±1,881","17.1%","±2.0","68,440","±3,151","15.9%","±0.7","2,051","±663","14.5%","±4.5","26,694","±2,283","15.1%","±1.2","23,967","±2,070","16.3%","±1.4","27,537","±2,660","16.0%","±1.4","4,521","±832","16.5%","±3.0","3,223","±778","17.4%","±4.2","1,657","±544","14.9%","±4.8"
"        15.0 to 19.9 percent","7,507","±1,161","9.1%","±1.3","43,756","±3,065","10.1%","±0.7","1,163","±634","8.2%","±4.2","16,369","±2,148","9.3%","±1.1","16,525","±2,200","11.2%","±1.5","19,203","±2,125","11.2%","±1.2","2,505","±739","9.2%","±2.6","1,595","±658","8.6%","±3.3","1,118","±469","10.1%","±3.8"
"        20.0 to 24.9 percent","5,453","±1,028","6.6%","±1.2","30,236","±2,125","7.0%","±0.5","766","±389","5.4%","±2.8","11,320","±1,792","6.4%","±1.0","8,661","±1,472","5.9%","±1.0","10,135","±1,509","5.9%","±0.9","949","±381","3.5%","±1.4","862","±437","4.7%","±2.4","461","±371","4.1%","±3.4"
"        25.0 to 29.9 percent","2,644","±723","3.2%","±0.8","20,894","±2,051","4.8%","±0.5","405","±289","2.9%","±2.0","6,210","±1,141","3.5%","±0.6","8,293","±1,414","5.6%","±0.9","7,260","±996","4.2%","±0.6","1,586","±572","5.8%","±2.0","627","±325","3.4%","±1.8","620","±320","5.6%","±2.8"
"        30.0 to 34.9 percent","2,596","±728","3.2%","±0.9","13,716","±1,605","3.2%","±0.4","230","±180","1.6%","±1.3","6,517","±1,107","3.7%","±0.6","7,005","±1,673","4.8%","±1.1","5,672","±1,086","3.3%","±0.6","1,302","±602","4.8%","±2.2","678","±434","3.7%","±2.4","107","±133","1.0%","±1.2"
"        35.0 percent or more","8,728","±1,532","10.6%","±1.7","60,287","±3,639","14.0%","±0.8","995","±519","7.0%","±3.6","21,728","±2,008","12.3%","±1.0","23,302","±2,522","15.8%","±1.6","21,393","±2,014","12.4%","±1.1","2,953","±947","10.8%","±3.4","2,868","±930","15.5%","±4.5","968","±415","8.7%","±3.6"
"        Not computed","1,015","±454","(X)","(X)","8,298","±1,298","(X)","(X)","95","±98","(X)","(X)","2,482","±746","(X)","(X)","3,289","±1,206","(X)","(X)","2,957","±1,060","(X)","(X)","169","±138","(X)","(X)","55","±91","(X)","(X)","110","±134","(X)","(X)"
"GROSS RENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied units paying rent","259,600","±5,740","259,600","(X)","1,767,668","±16,099","1,767,668","(X)","35,087","±2,068","35,087","(X)","432,537","±7,997","432,537","(X)","225,651","±5,935","225,651","(X)","519,717","±8,793","519,717","(X)","67,038","±3,066","67,038","(X)","36,745","±2,692","36,745","(X)","37,743","±2,054","37,743","(X)"
"        Less than $500","12,616","±1,772","4.9%","±0.7","80,969","±3,517","4.6%","±0.2","2,644","±995","7.5%","±2.7","11,843","±1,892","2.7%","±0.4","10,773","±1,809","4.8%","±0.8","16,328","±2,628","3.1%","±0.5","2,337","±872","3.5%","±1.3","2,312","±971","6.3%","±2.6","1,860","±812","4.9%","±2.1"
"        $500 to $999","25,460","±2,748","9.8%","±1.1","254,226","±8,120","14.4%","±0.4","14,126","±1,672","40.3%","±4.3","21,084","±2,545","4.9%","±0.6","43,708","±3,519","19.4%","±1.4","45,631","±3,719","8.8%","±0.7","7,093","±1,343","10.6%","±2.0","4,401","±1,363","12.0%","±3.5","8,417","±1,377","22.3%","±3.3"
"        $1,000 to $1,499","44,842","±3,384","17.3%","±1.2","572,805","±11,442","32.4%","±0.6","12,724","±1,755","36.3%","±4.6","82,539","±4,200","19.1%","±1.1","76,556","±4,094","33.9%","±1.8","149,929","±6,577","28.8%","±1.2","17,421","±2,257","26.0%","±3.1","8,277","±1,652","22.5%","±4.4","13,432","±1,907","35.6%","±4.3"
"        $1,500 to $1,999","62,499","±3,758","24.1%","±1.3","450,753","±10,336","25.5%","±0.5","4,403","±1,151","12.5%","±3.2","135,638","±5,837","31.4%","±1.2","58,868","±4,007","26.1%","±1.6","143,054","±5,984","27.5%","±1.1","21,855","±2,142","32.6%","±2.9","9,121","±1,832","24.8%","±4.7","8,069","±1,381","21.4%","±3.8"
"        $2,000 to $2,499","51,626","±4,262","19.9%","±1.6","213,846","±7,941","12.1%","±0.4","998","±588","2.8%","±1.6","93,607","±5,905","21.6%","±1.2","23,192","±2,550","10.3%","±1.1","88,987","±5,990","17.1%","±1.0","9,809","±1,616","14.6%","±2.3","7,263","±1,404","19.8%","±3.7","3,919","±1,119","10.4%","±2.9"
"        $2,500 to $2,999","35,920","±2,929","13.8%","±1.1","106,813","±5,459","6.0%","±0.3","38","±71","0.1%","±0.2","48,664","±3,812","11.3%","±0.9","9,060","±1,696","4.0%","±0.7","44,203","±3,942","8.5%","±0.8","4,330","±1,154","6.5%","±1.6","2,101","±873","5.7%","±2.3","1,379","±641","3.7%","±1.7"
"        $3,000 or more","26,637","±2,549","10.3%","±1.0","88,256","±5,016","5.0%","±0.3","154","±207","0.4%","±0.6","39,162","±3,690","9.1%","±0.8","3,494","±1,118","1.5%","±0.5","31,585","±2,745","6.1%","±0.5","4,193","±1,173","6.3%","±1.7","3,270","±1,009","8.9%","±2.6","667","±358","1.8%","±0.9"
"        Median (dollars)","1,875","±27","(X)","(X)","1,479","±8","(X)","(X)","1,023","±46","(X)","(X)","1,872","±17","(X)","(X)","1,374","±24","(X)","(X)","1,668","±19","(X)","(X)","1,653","±41","(X)","(X)","1,685","±82","(X)","(X)","1,320","±56","(X)","(X)"
"        No rent paid","7,307","±1,097","(X)","(X)","44,956","±3,451","(X)","(X)","2,224","±640","(X)","(X)","10,369","±1,604","(X)","(X)","5,876","±1,276","(X)","(X)","10,649","±1,683","(X)","(X)","2,582","±884","(X)","(X)","1,162","±458","(X)","(X)","578","±277","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","255,026","±5,592","255,026","(X)","1,726,524","±15,103","1,726,524","(X)","34,594","±2,117","34,594","(X)","421,773","±8,024","421,773","(X)","219,257","±5,957","219,257","(X)","510,213","±8,845","510,213","(X)","66,242","±3,100","66,242","(X)","35,734","±2,627","35,734","(X)","36,901","±2,033","36,901","(X)"
"        Less than 15.0 percent","30,747","±2,292","12.1%","±0.9","164,225","±7,097","9.5%","±0.4","5,387","±1,247","15.6%","±3.3","37,343","±2,944","8.9%","±0.7","19,048","±2,210","8.7%","±1.0","40,884","±3,431","8.0%","±0.7","5,582","±1,182","8.4%","±1.7","3,330","±895","9.3%","±2.4","3,808","±1,061","10.3%","±2.8"
"        15.0 to 19.9 percent","31,062","±2,948","12.2%","±1.1","180,556","±6,960","10.5%","±0.4","3,983","±992","11.5%","±2.8","41,983","±3,791","10.0%","±0.9","21,689","±2,750","9.9%","±1.2","52,828","±3,800","10.4%","±0.8","7,359","±1,585","11.1%","±2.3","2,588","±1,046","7.2%","±2.9","3,925","±981","10.6%","±2.6"
"        20.0 to 24.9 percent","38,328","±3,542","15.0%","±1.4","200,503","±8,207","11.6%","±0.5","4,562","±1,285","13.2%","±3.7","54,569","±3,488","12.9%","±0.8","21,393","±2,366","9.8%","±1.0","61,553","±4,479","12.1%","±0.8","7,380","±1,289","11.1%","±1.9","4,139","±1,221","11.6%","±3.5","3,298","±780","8.9%","±2.1"
"        25.0 to 29.9 percent","30,286","±2,676","11.9%","±1.0","195,336","±7,540","11.3%","±0.4","3,750","±1,065","10.8%","±3.0","52,138","±3,750","12.4%","±0.9","23,363","±2,835","10.7%","±1.3","59,812","±4,249","11.7%","±0.8","6,985","±1,558","10.5%","±2.3","4,380","±1,498","12.3%","±4.0","4,438","±1,243","12.0%","±3.3"
"        30.0 to 34.9 percent","21,941","±1,784","8.6%","±0.7","160,828","±6,235","9.3%","±0.4","3,556","±1,057","10.3%","±2.9","38,761","±3,493","9.2%","±0.8","20,550","±2,528","9.4%","±1.1","49,084","±3,876","9.6%","±0.8","5,984","±1,324","9.0%","±2.0","2,700","±1,039","7.6%","±2.9","3,252","±1,001","8.8%","±2.7"
"        35.0 percent or more","102,662","±4,688","40.3%","±1.7","825,076","±13,325","47.8%","±0.6","13,356","±1,641","38.6%","±4.3","196,979","±7,154","46.7%","±1.3","113,214","±4,925","51.6%","±1.7","246,052","±6,604","48.2%","±0.9","32,952","±2,549","49.7%","±3.0","18,597","±2,357","52.0%","±5.1","18,180","±1,804","49.3%","±4.3"
"        Not computed","11,881","±1,262","(X)","(X)","86,100","±4,712","(X)","(X)","2,717","±754","(X)","(X)","21,133","±2,729","(X)","(X)","12,270","±2,023","(X)","(X)","20,153","±2,786","(X)","(X)","3,378","±880","(X)","(X)","2,173","±797","(X)","(X)","1,420","±500","(X)","(X)"
