"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Shasta County, California!!Estimate","Shasta County, California!!Margin of Error","Shasta County, California!!Percent","Shasta County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"        No fuel used","15,428","±2,104","2.7%","±0.4","217,710","±5,817","6.6%","±0.2","649","±465","0.8%","±0.6","50,337","±3,549","4.9%","±0.3","15,333","±2,110","2.1%","±0.3","57,534","±4,007","5.2%","±0.4","9,117","±1,834","6.3%","±1.3","99","±175","0.1%","±0.3","418","±299","0.6%","±0.4"
"SELECTED CHARACTERISTICS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","571,828","±2,806","571,828","(X)","3,293,095","±8,551","3,293,095","(X)","79,098","±1,205","79,098","(X)","1,022,542","±5,039","1,022,542","(X)","714,728","±5,341","714,728","(X)","1,113,610","±5,279","1,113,610","(X)","144,261","±1,953","144,261","(X)","69,799","±1,440","69,799","(X)","73,754","±1,051","73,754","(X)"
"        Lacking complete plumbing facilities","2,999","±1,061","0.5%","±0.2","15,650","±2,026","0.5%","±0.1","332","±307","0.4%","±0.4","2,917","±764","0.3%","±0.1","3,178","±1,032","0.4%","±0.1","3,750","±978","0.3%","±0.1","481","±333","0.3%","±0.2","968","±433","1.4%","±0.6","206","±216","0.3%","±0.3"
"        Lacking complete kitchen facilities","5,693","±1,181","1.0%","±0.2","50,198","±3,412","1.5%","±0.1","479","±307","0.6%","±0.4","11,681","±1,393","1.1%","±0.1","5,616","±1,312","0.8%","±0.2","8,802","±1,527","0.8%","±0.1","1,571","±574","1.1%","±0.4","495","±298","0.7%","±0.4","601","±320","0.8%","±0.4"
"        No telephone service available","13,343","±1,538","2.3%","±0.3","80,643","±3,962","2.4%","±0.1","1,457","±520","1.8%","±0.7","18,787","±1,799","1.8%","±0.2","19,382","±2,570","2.7%","±0.4","27,630","±2,678","2.5%","±0.2","2,431","±674","1.7%","±0.5","3,254","±888","4.7%","±1.3","1,079","±365","1.5%","±0.5"
"OCCUPANTS PER ROOM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","571,828","±2,806","571,828","(X)","3,293,095","±8,551","3,293,095","(X)","79,098","±1,205","79,098","(X)","1,022,542","±5,039","1,022,542","(X)","714,728","±5,341","714,728","(X)","1,113,610","±5,279","1,113,610","(X)","144,261","±1,953","144,261","(X)","69,799","±1,440","69,799","(X)","73,754","±1,051","73,754","(X)"
"        1.00 or less","530,167","±3,509","92.7%","±0.5","2,907,109","±9,402","88.3%","±0.2","71,692","±1,735","90.6%","±1.6","929,418","±5,823","90.9%","±0.5","663,666","±5,677","92.9%","±0.5","1,036,781","±7,077","93.1%","±0.4","128,361","±2,889","89.0%","±1.5","66,873","±1,695","95.8%","±1.5","70,779","±1,191","96.0%","±1.1"
"        1.01 to 1.50","26,361","±2,295","4.6%","±0.4","224,024","±7,157","6.8%","±0.2","6,280","±1,069","7.9%","±1.4","62,044","±4,605","6.1%","±0.4","39,302","±3,059","5.5%","±0.4","52,538","±3,781","4.7%","±0.3","9,753","±1,632","6.8%","±1.1","1,792","±787","2.6%","±1.1","2,003","±614","2.7%","±0.8"
"        1.51 or more","15,300","±1,724","2.7%","±0.3","161,962","±5,404","4.9%","±0.2","1,126","±548","1.4%","±0.7","31,080","±2,679","3.0%","±0.3","11,760","±1,715","1.6%","±0.2","24,291","±2,855","2.2%","±0.3","6,147","±1,149","4.3%","±0.8","1,134","±630","1.6%","±0.9","972","±504","1.3%","±0.7"
"VALUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Owner-occupied units","300,205","±4,712","300,205","(X)","1,486,408","±12,066","1,486,408","(X)","40,476","±2,020","40,476","(X)","578,950","±7,203","578,950","(X)","457,212","±6,275","457,212","(X)","579,465","±7,414","579,465","(X)","73,953","±2,913","73,953","(X)","42,946","±1,935","42,946","(X)","39,001","±2,025","39,001","(X)"
"        Less than $50,000","4,069","±935","1.4%","±0.3","29,931","±1,874","2.0%","±0.1","2,039","±561","5.0%","±1.4","11,077","±1,284","1.9%","±0.2","25,649","±2,359","5.6%","±0.5","16,510","±2,080","2.8%","±0.4","2,029","±524","2.7%","±0.7","3,260","±876","7.6%","±1.9","1,318","±517","3.4%","±1.3"
"        $50,000 to $99,999","3,266","±623","1.1%","±0.2","18,743","±1,454","1.3%","±0.1","3,181","±934","7.9%","±2.3","11,882","±1,594","2.1%","±0.3","14,907","±1,574","3.3%","±0.3","12,059","±1,749","2.1%","±0.3","1,933","±698","2.6%","±0.9","2,849","±766","6.6%","±1.7","1,053","±481","2.7%","±1.2"
"        $100,000 to $149,999","3,442","±951","1.1%","±0.3","18,603","±1,740","1.3%","±0.1","5,285","±976","13.1%","±2.4","5,512","±1,011","1.0%","±0.2","23,481","±2,163","5.1%","±0.5","9,278","±1,434","1.6%","±0.2","1,424","±463","1.9%","±0.6","3,309","±669","7.7%","±1.5","990","±417","2.5%","±1.1"
"        $150,000 to $199,999","3,378","±769","1.1%","±0.3","32,277","±2,474","2.2%","±0.2","8,662","±1,309","21.4%","±3.0","8,872","±1,432","1.5%","±0.2","38,049","±2,883","8.3%","±0.6","12,386","±1,764","2.1%","±0.3","1,908","±574","2.6%","±0.8","7,174","±1,039","16.7%","±2.2","2,898","±766","7.4%","±1.9"
"        $200,000 to $299,999","12,596","±1,491","4.2%","±0.5","129,598","±4,408","8.7%","±0.3","10,376","±1,469","25.6%","±3.3","24,477","±2,050","4.2%","±0.3","112,398","±4,759","24.6%","±0.9","46,350","±2,691","8.0%","±0.4","11,008","±1,228","14.9%","±1.6","12,796","±1,284","29.8%","±2.9","7,596","±1,246","19.5%","±3.1"
"        $300,000 to $499,999","63,231","±3,021","21.1%","±1.0","521,550","±8,400","35.1%","±0.5","7,450","±1,226","18.4%","±2.9","125,810","±4,980","21.7%","±0.8","176,092","±5,824","38.5%","±1.2","208,732","±5,973","36.0%","±1.0","16,390","±1,585","22.2%","±1.9","10,831","±986","25.2%","±2.3","13,911","±1,441","35.7%","±3.1"
"        $500,000 to $999,999","160,331","±4,254","53.4%","±1.2","534,658","±7,909","36.0%","±0.5","2,568","±735","6.3%","±1.8","306,686","±6,803","53.0%","±0.9","57,413","±3,099","12.6%","±0.7","218,590","±5,769","37.7%","±0.8","24,697","±1,883","33.4%","±2.4","2,183","±643","5.1%","±1.5","10,273","±1,134","26.3%","±2.7"
"        $1,000,000 or more","49,892","±2,549","16.6%","±0.9","201,048","±4,858","13.5%","±0.3","915","±391","2.3%","±0.9","84,634","±3,661","14.6%","±0.6","9,223","±1,196","2.0%","±0.3","55,560","±2,995","9.6%","±0.5","14,564","±1,516","19.7%","±1.9","544","±342","1.3%","±0.8","962","±438","2.5%","±1.1"
"        Median (dollars)","656,700","±5,961","(X)","(X)","497,200","±2,638","(X)","(X)","210,100","±14,256","(X)","(X)","625,300","±4,828","(X)","(X)","312,700","±4,096","(X)","(X)","485,900","±4,165","(X)","(X)","547,600","±34,367","(X)","(X)","238,900","±9,917","(X)","(X)","366,100","±11,044","(X)","(X)"
"MORTGAGE STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Owner-occupied units","300,205","±4,712","300,205","(X)","1,486,408","±12,066","1,486,408","(X)","40,476","±2,020","40,476","(X)","578,950","±7,203","578,950","(X)","457,212","±6,275","457,212","(X)","579,465","±7,414","579,465","(X)","73,953","±2,913","73,953","(X)","42,946","±1,935","42,946","(X)","39,001","±2,025","39,001","(X)"
"        Housing units with a mortgage","220,989","±4,964","73.6%","±1.1","1,082,512","±11,703","72.8%","±0.5","28,307","±2,061","69.9%","±3.1","413,103","±7,104","71.4%","±0.8","326,398","±6,447","71.4%","±0.9","415,532","±7,160","71.7%","±0.8","48,468","±2,721","65.5%","±2.5","26,276","±1,882","61.2%","±3.4","27,301","±1,907","70.0%","±3.1"
"        Housing units without a mortgage","79,216","±3,501","26.4%","±1.1","403,896","±7,467","27.2%","±0.5","12,169","±1,273","30.1%","±3.1","165,847","±4,621","28.6%","±0.8","130,814","±4,119","28.6%","±0.9","163,933","±4,960","28.3%","±0.8","25,485","±2,021","34.5%","±2.5","16,670","±1,637","38.8%","±3.4","11,700","±1,352","30.0%","±3.1"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Housing units with a mortgage","220,989","±4,964","220,989","(X)","1,082,512","±11,703","1,082,512","(X)","28,307","±2,061","28,307","(X)","413,103","±7,104","413,103","(X)","326,398","±6,447","326,398","(X)","415,532","±7,160","415,532","(X)","48,468","±2,721","48,468","(X)","26,276","±1,882","26,276","(X)","27,301","±1,907","27,301","(X)"
"        Less than $500","1,471","±573","0.7%","±0.3","4,452","±858","0.4%","±0.1","187","±122","0.7%","±0.4","1,979","±566","0.5%","±0.1","2,532","±731","0.8%","±0.2","1,918","±605","0.5%","±0.1","782","±444","1.6%","±0.9","471","±246","1.8%","±0.9","130","±160","0.5%","±0.6"
"        $500 to $999","7,104","±1,087","3.2%","±0.5","51,939","±2,076","4.8%","±0.2","6,794","±1,048","24.0%","±3.4","15,931","±1,893","3.9%","±0.4","28,168","±1,980","8.6%","±0.6","19,821","±1,926","4.8%","±0.4","2,529","±686","5.2%","±1.4","5,240","±891","19.9%","±3.2","2,330","±707","8.5%","±2.6"
"        $1,000 to $1,499","19,838","±1,790","9.0%","±0.8","146,137","±4,600","13.5%","±0.4","9,474","±1,518","33.5%","±4.8","38,228","±2,851","9.3%","±0.7","78,205","±4,050","24.0%","±1.2","53,733","±3,501","12.9%","±0.8","8,645","±1,375","17.8%","±2.5","8,266","±1,171","31.5%","±3.7","5,725","±1,051","21.0%","±3.6"
"        $1,500 to $1,999","35,102","±2,497","15.9%","±1.1","229,852","±6,456","21.2%","±0.5","6,348","±1,378","22.4%","±4.3","70,314","±4,257","17.0%","±1.0","86,450","±4,297","26.5%","±1.1","83,462","±4,274","20.1%","±0.9","10,549","±1,599","21.8%","±3.0","7,052","±1,144","26.8%","±4.2","5,076","±860","18.6%","±3.0"
"        $2,000 to $2,499","44,811","±2,714","20.3%","±1.1","208,216","±6,040","19.2%","±0.5","3,111","±893","11.0%","±3.1","76,973","±4,600","18.6%","±1.1","59,186","±3,606","18.1%","±1.0","85,033","±4,131","20.5%","±1.0","8,371","±1,407","17.3%","±2.9","3,007","±788","11.4%","±2.8","7,010","±1,324","25.7%","±4.1"
"        $2,500 to $2,999","36,031","±2,390","16.3%","±1.1","157,424","±4,788","14.5%","±0.4","1,282","±622","4.5%","±2.2","69,249","±4,196","16.8%","±1.0","35,707","±2,563","10.9%","±0.8","65,100","±4,014","15.7%","±0.9","4,920","±1,074","10.2%","±2.1","1,060","±381","4.0%","±1.4","3,363","±741","12.3%","±2.6"
"        $3,000 or more","76,632","±3,248","34.7%","±1.3","284,492","±6,983","26.3%","±0.6","1,111","±500","3.9%","±1.7","140,429","±5,001","34.0%","±1.1","36,150","±2,500","11.1%","±0.8","106,465","±4,464","25.6%","±1.0","12,672","±1,336","26.1%","±2.5","1,180","±466","4.5%","±1.7","3,667","±945","13.4%","±3.3"
"        Median (dollars)","2,530","±37","(X)","(X)","2,261","±15","(X)","(X)","1,362","±81","(X)","(X)","2,523","±37","(X)","(X)","1,795","±24","(X)","(X)","2,287","±29","(X)","(X)","2,103","±89","(X)","(X)","1,446","±69","(X)","(X)","2,028","±78","(X)","(X)"
"    Housing units without a mortgage","79,216","±3,501","79,216","(X)","403,896","±7,467","403,896","(X)","12,169","±1,273","12,169","(X)","165,847","±4,621","165,847","(X)","130,814","±4,119","130,814","(X)","163,933","±4,960","163,933","(X)","25,485","±2,021","25,485","(X)","16,670","±1,637","16,670","(X)","11,700","±1,352","11,700","(X)"
"        Less than $250","6,030","±1,086","7.6%","±1.4","39,184","±2,408","9.7%","±0.6","1,469","±445","12.1%","±3.4","18,057","±1,749","10.9%","±1.0","17,997","±1,658","13.8%","±1.2","19,318","±1,883","11.8%","±1.1","2,729","±598","10.7%","±2.1","2,979","±737","17.9%","±4.1","888","±433","7.6%","±3.5"
"        $250 to $399","13,152","±1,683","16.6%","±2.0","85,462","±3,720","21.2%","±0.8","4,328","±826","35.6%","±5.5","28,290","±1,877","17.1%","±1.1","23,839","±2,107","18.2%","±1.5","28,084","±2,161","17.1%","±1.3","4,530","±911","17.8%","±3.2","3,396","±714","20.4%","±4.1","3,301","±772","28.2%","±5.8"
"        $400 to $599","23,070","±2,309","29.1%","±2.4","106,088","±3,886","26.3%","±0.9","3,626","±757","29.8%","±5.1","39,301","±2,683","23.7%","±1.4","37,429","±2,705","28.6%","±1.7","42,134","±3,243","25.7%","±1.7","6,598","±902","25.9%","±3.4","6,245","±1,170","37.5%","±5.6","3,434","±787","29.4%","±5.5"
"        $600 to $799","13,662","±1,350","17.2%","±1.7","72,323","±3,071","17.9%","±0.8","1,902","±538","15.6%","±4.1","31,955","±2,434","19.3%","±1.4","25,752","±2,269","19.7%","±1.6","30,743","±2,821","18.8%","±1.6","4,027","±854","15.8%","±3.1","2,704","±709","16.2%","±3.8","1,650","±514","14.1%","±4.5"
"        $800 to $999","9,377","±1,412","11.8%","±1.6","39,770","±2,589","9.8%","±0.6","337","±217","2.8%","±1.8","18,234","±1,937","11.0%","±1.1","12,942","±1,327","9.9%","±1.0","18,717","±1,836","11.4%","±1.1","3,035","±756","11.9%","±2.9","702","±270","4.2%","±1.6","1,230","±476","10.5%","±3.7"
"        $1,000 or more","13,925","±1,317","17.6%","±1.7","61,069","±3,265","15.1%","±0.7","507","±298","4.2%","±2.5","30,010","±2,374","18.1%","±1.4","12,855","±1,309","9.8%","±1.0","24,937","±2,356","15.2%","±1.3","4,566","±1,057","17.9%","±3.7","644","±289","3.9%","±1.7","1,197","±451","10.2%","±3.7"
"        Median (dollars)","579","±14","(X)","(X)","542","±8","(X)","(X)","412","±29","(X)","(X)","586","±16","(X)","(X)","519","±14","(X)","(X)","565","±14","(X)","(X)","560","±37","(X)","(X)","467","±26","(X)","(X)","501","±44","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","220,037","±4,982","220,037","(X)","1,076,463","±11,526","1,076,463","(X)","27,865","±2,070","27,865","(X)","411,173","±7,053","411,173","(X)","323,847","±6,455","323,847","(X)","413,954","±7,126","413,954","(X)","48,208","±2,750","48,208","(X)","25,847","±1,867","25,847","(X)","27,058","±1,926","27,058","(X)"
"        Less than 20.0 percent","75,736","±3,158","34.4%","±1.4","311,512","±7,342","28.9%","±0.6","9,468","±1,389","34.0%","±4.6","129,327","±4,906","31.5%","±1.1","95,082","±4,679","29.4%","±1.4","120,544","±5,283","29.1%","±1.2","15,444","±1,725","32.0%","±3.4","8,915","±1,228","34.5%","±3.9","11,336","±1,282","41.9%","±4.2"
"        20.0 to 24.9 percent","36,229","±2,600","16.5%","±1.1","155,474","±5,326","14.4%","±0.5","4,545","±1,076","16.3%","±3.9","65,140","±2,815","15.8%","±0.7","51,122","±3,482","15.8%","±1.0","65,523","±3,936","15.8%","±0.9","8,242","±1,338","17.1%","±2.5","3,654","±755","14.1%","±2.8","4,081","±994","15.1%","±3.6"
"        25.0 to 29.9 percent","28,071","±2,207","12.8%","±1.0","131,161","±4,245","12.2%","±0.4","3,887","±1,034","13.9%","±3.6","54,281","±3,508","13.2%","±0.8","41,896","±3,328","12.9%","±0.9","56,836","±3,696","13.7%","±0.9","6,032","±1,134","12.5%","±2.3","3,047","±649","11.8%","±2.4","3,503","±857","12.9%","±3.0"
"        30.0 to 34.9 percent","19,657","±2,182","8.9%","±0.9","95,546","±4,288","8.9%","±0.4","1,859","±680","6.7%","±2.3","36,550","±2,674","8.9%","±0.6","29,683","±2,748","9.2%","±0.8","39,759","±2,632","9.6%","±0.6","4,241","±881","8.8%","±1.8","2,297","±580","8.9%","±2.1","1,388","±513","5.1%","±1.9"
"        35.0 percent or more","60,344","±3,676","27.4%","±1.5","382,770","±8,983","35.6%","±0.6","8,106","±1,480","29.1%","±4.3","125,875","±5,539","30.6%","±1.2","106,064","±4,710","32.8%","±1.4","131,292","±5,935","31.7%","±1.2","14,249","±1,898","29.6%","±3.2","7,934","±1,261","30.7%","±4.3","6,750","±1,341","24.9%","±4.3"
"    Not computed","952","±324","(X)","(X)","6,049","±1,087","(X)","(X)","442","±523","(X)","(X)","1,930","±612","(X)","(X)","2,551","±705","(X)","(X)","1,578","±567","(X)","(X)","260","±200","(X)","(X)","429","±390","(X)","(X)","243","±221","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","78,558","±3,521","78,558","(X)","398,335","±7,317","398,335","(X)","12,083","±1,278","12,083","(X)","163,641","±4,551","163,641","(X)","128,755","±4,051","128,755","(X)","161,105","±4,712","161,105","(X)","24,897","±2,005","24,897","(X)","16,588","±1,632","16,588","(X)","11,598","±1,335","11,598","(X)"
"        Less than 10.0 percent","39,830","±2,440","50.7%","±2.4","183,141","±4,405","46.0%","±1.0","5,684","±1,004","47.0%","±6.9","81,260","±3,802","49.7%","±1.9","51,406","±2,540","39.9%","±1.7","72,808","±3,115","45.2%","±1.7","11,167","±1,324","44.9%","±4.3","6,132","±1,046","37.0%","±5.6","5,851","±1,087","50.4%","±6.7"
"        10.0 to 14.9 percent","14,631","±1,586","18.6%","±1.8","69,432","±3,041","17.4%","±0.7","2,420","±677","20.0%","±5.1","25,227","±2,036","15.4%","±1.2","23,797","±2,178","18.5%","±1.5","28,800","±2,094","17.9%","±1.3","4,233","±1,104","17.0%","±4.0","3,388","±727","20.4%","±4.0","2,453","±746","21.2%","±5.7"
"        15.0 to 19.9 percent","8,051","±1,347","10.2%","±1.7","39,874","±2,623","10.0%","±0.6","1,072","±357","8.9%","±3.0","13,962","±1,826","8.5%","±1.1","13,506","±1,460","10.5%","±1.1","15,678","±1,737","9.7%","±1.0","2,445","±552","9.8%","±2.2","2,065","±655","12.4%","±3.6","1,273","±493","11.0%","±4.3"
"        20.0 to 24.9 percent","4,018","±733","5.1%","±0.9","25,798","±2,188","6.5%","±0.5","741","±385","6.1%","±3.0","9,836","±1,318","6.0%","±0.8","11,826","±1,203","9.2%","±1.0","10,523","±1,493","6.5%","±0.9","2,077","±779","8.3%","±3.0","1,115","±303","6.7%","±1.8","557","±354","4.8%","±3.1"
"        25.0 to 29.9 percent","2,625","±727","3.3%","±0.9","16,112","±1,797","4.0%","±0.4","671","±359","5.6%","±2.8","6,705","±1,232","4.1%","±0.8","5,757","±1,036","4.5%","±0.8","6,077","±1,390","3.8%","±0.8","1,085","±482","4.4%","±1.9","867","±389","5.2%","±2.3","347","±287","3.0%","±2.5"
"        30.0 to 34.9 percent","2,220","±709","2.8%","±0.9","11,950","±1,593","3.0%","±0.4","476","±345","3.9%","±2.8","5,142","±1,110","3.1%","±0.7","3,589","±815","2.8%","±0.6","5,467","±1,017","3.4%","±0.6","1,115","±558","4.5%","±2.3","724","±363","4.4%","±2.2","248","±247","2.1%","±2.1"
"        35.0 percent or more","7,183","±1,093","9.1%","±1.3","52,028","±3,242","13.1%","±0.7","1,019","±432","8.4%","±3.6","21,509","±2,134","13.1%","±1.2","18,874","±2,054","14.7%","±1.5","21,752","±2,780","13.5%","±1.6","2,775","±885","11.1%","±3.3","2,297","±702","13.8%","±3.6","869","±340","7.5%","±2.8"
"    Not computed","658","±346","(X)","(X)","5,561","±928","(X)","(X)","86","±98","(X)","(X)","2,206","±764","(X)","(X)","2,059","±578","(X)","(X)","2,828","±807","(X)","(X)","588","±326","(X)","(X)","82","±89","(X)","(X)","102","±125","(X)","(X)"
"GROSS RENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied units paying rent","264,495","±4,999","264,495","(X)","1,758,803","±12,575","1,758,803","(X)","35,535","±2,264","35,535","(X)","433,471","±8,204","433,471","(X)","248,559","±6,476","248,559","(X)","518,601","±8,121","518,601","(X)","68,485","±3,038","68,485","(X)","25,513","±1,755","25,513","(X)","33,264","±2,052","33,264","(X)"
"        Less than $500","14,907","±1,829","5.6%","±0.7","87,979","±4,140","5.0%","±0.2","3,611","±1,010","10.2%","±2.7","15,428","±2,081","3.6%","±0.5","13,066","±2,044","5.3%","±0.8","20,020","±2,143","3.9%","±0.4","3,688","±942","5.4%","±1.3","2,805","±818","11.0%","±3.1","2,205","±757","6.6%","±2.2"
"        $500 to $999","37,085","±3,507","14.0%","±1.3","407,523","±9,015","23.2%","±0.5","19,460","±2,099","54.8%","±4.9","32,015","±2,806","7.4%","±0.6","71,889","±4,118","28.9%","±1.4","89,572","±4,679","17.3%","±0.9","13,311","±1,694","19.4%","±2.3","11,841","±1,627","46.4%","±5.3","10,814","±1,648","32.5%","±4.5"
"        $1,000 to $1,499","78,475","±3,907","29.7%","±1.4","645,926","±12,208","36.7%","±0.6","10,250","±1,633","28.8%","±4.0","136,830","±5,647","31.6%","±1.2","88,203","±4,431","35.5%","±1.7","174,424","±5,864","33.6%","±1.1","20,849","±1,997","30.4%","±2.6","7,859","±1,452","30.8%","±5.2","11,900","±1,492","35.8%","±4.0"
"        $1,500 to $1,999","69,527","±4,365","26.3%","±1.5","350,393","±7,754","19.9%","±0.5","2,134","±857","6.0%","±2.5","130,625","±4,598","30.1%","±1.0","47,605","±3,558","19.2%","±1.3","123,342","±6,440","23.8%","±1.1","17,371","±2,096","25.4%","±3.0","2,487","±739","9.7%","±3.0","5,424","±986","16.3%","±3.0"
"        $2,000 to $2,499","36,282","±3,081","13.7%","±1.1","152,040","±7,173","8.6%","±0.4","42","±79","0.1%","±0.2","68,830","±4,601","15.9%","±1.0","17,573","±2,679","7.1%","±1.0","67,228","±4,244","13.0%","±0.8","7,235","±1,321","10.6%","±1.8","352","±290","1.4%","±1.1","1,562","±443","4.7%","±1.3"
"        $2,500 to $2,999","16,697","±1,678","6.3%","±0.6","64,311","±3,250","3.7%","±0.2","0","±201","0.0%","±0.5","31,869","±2,894","7.4%","±0.6","7,584","±1,669","3.1%","±0.7","26,002","±3,051","5.0%","±0.6","2,913","±854","4.3%","±1.2","142","±152","0.6%","±0.6","991","±541","3.0%","±1.6"
"        $3,000 or more","11,522","±1,472","4.4%","±0.5","50,631","±2,886","2.9%","±0.2","38","±59","0.1%","±0.2","17,874","±2,225","4.1%","±0.5","2,639","±737","1.1%","±0.3","18,013","±2,093","3.5%","±0.4","3,118","±856","4.6%","±1.2","27","±44","0.1%","±0.2","368","±254","1.1%","±0.7"
"        Median (dollars)","1,513","±30","(X)","(X)","1,279","±8","(X)","(X)","874","±31","(X)","(X)","1,624","±17","(X)","(X)","1,195","±19","(X)","(X)","1,427","±17","(X)","(X)","1,419","±42","(X)","(X)","919","±57","(X)","(X)","1,160","±60","(X)","(X)"
"    No rent paid","7,128","±1,496","(X)","(X)","47,884","±3,022","(X)","(X)","3,087","±835","(X)","(X)","10,121","±1,452","(X)","(X)","8,957","±1,410","(X)","(X)","15,544","±2,412","(X)","(X)","1,823","±528","(X)","(X)","1,340","±586","(X)","(X)","1,489","±565","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","261,792","±5,076","261,792","(X)","1,719,501","±12,884","1,719,501","(X)","34,900","±2,255","34,900","(X)","423,214","±8,133","423,214","(X)","244,222","±6,577","244,222","(X)","509,261","±7,988","509,261","(X)","67,803","±3,105","67,803","(X)","24,939","±1,744","24,939","(X)","31,893","±2,064","31,893","(X)"
"        Less than 15.0 percent","29,419","±2,491","11.2%","±0.9","152,818","±5,159","8.9%","±0.3","3,307","±976","9.5%","±2.8","34,769","±3,458","8.2%","±0.8","18,597","±2,221","7.6%","±0.9","40,154","±3,167","7.9%","±0.6","6,455","±1,266","9.5%","±1.8","4,000","±1,055","16.0%","±4.0","2,873","±946","9.0%","±3.0"
"        15.0 to 19.9 percent","29,380","±2,199","11.2%","±0.8","176,984","±6,721","10.3%","±0.4","3,630","±1,149","10.4%","±3.2","40,639","±3,120","9.6%","±0.7","26,402","±2,697","10.8%","±1.1","52,814","±3,953","10.4%","±0.7","7,208","±1,589","10.6%","±2.3","2,476","±625","9.9%","±2.5","3,172","±986","9.9%","±3.0"
"        20.0 to 24.9 percent","37,463","±3,258","14.3%","±1.2","193,731","±7,134","11.3%","±0.4","3,957","±1,218","11.3%","±3.2","53,386","±4,075","12.6%","±1.0","27,715","±2,810","11.3%","±1.1","61,728","±4,543","12.1%","±0.9","9,406","±1,730","13.9%","±2.5","3,117","±969","12.5%","±4.0","3,377","±885","10.6%","±2.8"
"        25.0 to 29.9 percent","31,686","±2,788","12.1%","±1.1","184,870","±7,052","10.8%","±0.4","3,873","±1,119","11.1%","±3.1","50,068","±3,431","11.8%","±0.8","30,050","±2,981","12.3%","±1.2","65,572","±4,387","12.9%","±0.8","8,653","±1,385","12.8%","±1.9","2,505","±831","10.0%","±3.4","3,567","±1,128","11.2%","±3.5"
"        30.0 to 34.9 percent","25,087","±2,142","9.6%","±0.8","169,465","±6,746","9.9%","±0.4","2,714","±791","7.8%","±2.3","44,401","±3,378","10.5%","±0.8","23,412","±2,374","9.6%","±0.9","52,635","±4,296","10.3%","±0.8","5,014","±1,122","7.4%","±1.6","2,399","±739","9.6%","±2.8","2,825","±939","8.9%","±2.9"
"        35.0 percent or more","108,757","±4,691","41.5%","±1.5","841,633","±11,437","48.9%","±0.6","17,419","±1,975","49.9%","±5.1","199,951","±7,160","47.2%","±1.3","118,046","±5,258","48.3%","±1.7","236,358","±7,711","46.4%","±1.4","31,067","±2,385","45.8%","±2.9","10,442","±1,580","41.9%","±5.2","16,079","±1,782","50.4%","±4.3"
"    Not computed","9,831","±1,650","(X)","(X)","87,186","±4,405","(X)","(X)","3,722","±906","(X)","(X)","20,378","±2,414","(X)","(X)","13,294","±1,823","(X)","(X)","24,884","±3,070","(X)","(X)","2,505","±595","(X)","(X)","1,914","±714","(X)","(X)","2,860","±928","(X)","(X)"
