"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Shasta County, California!!Estimate","Shasta County, California!!Margin of Error","Shasta County, California!!Percent","Shasta County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"        Built 1950 to 1959","76,027","±3,831","12.5%","±0.6","724,874","±10,823","20.5%","±0.3","7,423","±1,265","8.7%","±1.5","142,164","±5,255","12.9%","±0.5","47,772","±3,043","5.7%","±0.4","133,198","±5,614","11.0%","±0.5","21,863","±2,342","13.9%","±1.5","9,189","±1,560","11.7%","±2.0","7,937","±1,508","10.2%","±1.9"
"        Built 1940 to 1949","41,480","±2,949","6.8%","±0.5","363,202","±8,842","10.3%","±0.3","4,587","±987","5.4%","±1.2","23,204","±2,278","2.1%","±0.2","13,542","±1,718","1.6%","±0.2","40,226","±3,039","3.3%","±0.3","4,676","±1,143","3.0%","±0.7","3,323","±913","4.2%","±1.2","2,272","±834","2.9%","±1.1"
"        Built 1939 or earlier","122,423","±4,305","20.2%","±0.7","536,070","±10,259","15.1%","±0.3","5,398","±1,456","6.3%","±1.7","27,677","±2,942","2.5%","±0.3","18,099","±1,956","2.2%","±0.2","54,176","±3,334","4.5%","±0.3","13,497","±1,896","8.6%","±1.2","1,205","±424","1.5%","±0.5","4,700","±1,088","6.0%","±1.4"
"ROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","606,053","±965","606,053","(X)","3,542,835","±1,940","3,542,835","(X)","85,267","±435","85,267","(X)","1,102,088","±958","1,102,088","(X)","840,273","±1,373","840,273","(X)","1,214,271","±1,461","1,214,271","(X)","157,049","±714","157,049","(X)","78,846","±346","78,846","(X)","77,948","±465","77,948","(X)"
"        1 room","24,392","±2,352","4.0%","±0.4","228,014","±8,203","6.4%","±0.2","1,718","±637","2.0%","±0.7","36,925","±3,374","3.4%","±0.3","16,858","±2,271","2.0%","±0.3","40,106","±4,046","3.3%","±0.3","5,472","±1,246","3.5%","±0.8","1,242","±469","1.6%","±0.6","1,667","±733","2.1%","±0.9"
"        2 rooms","37,418","±3,235","6.2%","±0.5","197,924","±7,736","5.6%","±0.2","682","±343","0.8%","±0.4","37,272","±2,996","3.4%","±0.3","23,121","±2,389","2.8%","±0.3","53,232","±3,643","4.4%","±0.3","6,309","±1,435","4.0%","±0.9","1,865","±656","2.4%","±0.8","2,580","±860","3.3%","±1.1"
"        3 rooms","88,221","±4,432","14.6%","±0.7","558,566","±10,803","15.8%","±0.3","3,912","±1,016","4.6%","±1.2","121,685","±5,730","11.0%","±0.5","76,726","±4,397","9.1%","±0.5","165,722","±6,835","13.6%","±0.6","19,915","±2,568","12.7%","±1.6","6,039","±1,505","7.7%","±1.9","9,506","±1,579","12.2%","±2.0"
"        4 rooms","120,666","±4,830","19.9%","±0.8","753,720","±11,321","21.3%","±0.3","13,046","±1,595","15.3%","±1.9","225,414","±7,773","20.5%","±0.7","150,183","±6,289","17.9%","±0.7","248,592","±7,328","20.5%","±0.6","29,296","±2,716","18.7%","±1.7","15,334","±1,854","19.4%","±2.4","15,612","±2,113","20.0%","±2.7"
"        5 rooms","105,493","±4,086","17.4%","±0.7","629,883","±10,508","17.8%","±0.3","23,758","±2,233","27.9%","±2.6","197,002","±6,217","17.9%","±0.6","171,874","±6,722","20.5%","±0.8","226,275","±7,263","18.6%","±0.6","31,289","±2,520","19.9%","±1.6","20,808","±1,966","26.4%","±2.5","15,430","±1,681","19.8%","±2.2"
"        6 rooms","90,935","±4,313","15.0%","±0.7","518,151","±9,403","14.6%","±0.3","21,380","±2,098","25.1%","±2.4","185,969","±5,571","16.9%","±0.5","151,753","±4,883","18.1%","±0.6","188,521","±6,290","15.5%","±0.5","29,134","±2,613","18.6%","±1.7","14,729","±1,781","18.7%","±2.2","13,848","±1,731","17.8%","±2.2"
"        7 rooms","57,539","±3,014","9.5%","±0.5","298,139","±7,248","8.4%","±0.2","9,785","±1,583","11.5%","±1.9","122,321","±5,502","11.1%","±0.5","96,675","±3,968","11.5%","±0.5","122,100","±4,779","10.1%","±0.4","16,470","±1,917","10.5%","±1.2","8,083","±1,186","10.3%","±1.5","6,909","±1,223","8.9%","±1.6"
